item_type|title|summary|content_html|created_date|hits|is_reviewable|is_ratable|rating|user|class|status|icon_url|item_id|isbn|sub_title|original_title|price|published_year|published_month|published_day|page_count
2|(英)阿嘉莎 克莉丝蒂小说选(全10册)(特价)|东方快车谋杀案；此夜绵绵；假戏成真|东方快车谋杀案；此夜绵绵；假戏成真|2011-04-10 21:02:59.893|0|True|True||mysterybbs|Item, Book|Active|s1956752.jpg|1701|9787507502398|||||||0
2|阿嘉莎·克莉丝蒂小说选 2|尼罗河谋杀案；魔手；黑麦奇案|尼罗河谋杀案；魔手；黑麦奇案|2011-04-10 21:03:00.113|0|True|True||mysterybbs|Item, Book|Active|s1956757.jpg|1703|9787507504170||||1995|||0
2|阿嘉莎·克莉丝蒂小说选 4|艳阳下的谋杀案；死亡约会；ABC谋杀案|艳阳下的谋杀案；死亡约会；ABC谋杀案|2011-04-10 21:03:00.287|0|True|True||mysterybbs|Item, Book|Active|s1956759.jpg|1704|9787507504194||||1995|||0
2|百舌吶喊的夜晚|新宿街頭發生一起炸彈爆炸案件，被捲入的死者竟是警察之妻。  一名身負重傷的男子在能登半島的海岬處被發現，清醒之後卻喪失了記憶，然而黑道派來的追兵鍥而不捨，勢將男子殺人滅口。  失憶男子就是名為百舌的殺手嗎？他與爆炸案又有何關連？  公安警察與刑警暗地裡衝突不斷的驚人內幕  黑白兩道間爾虞我詐的心理戰  波瀾萬丈 以血洗血  適合在失眠之夜一口氣讀完  |新宿街頭發生一起炸彈爆炸案件，被捲入的死者竟是警察之妻。  一名身負重傷的男子在能登半島的海岬處被發現，清醒之後卻喪失了記憶，然而黑道派來的追兵鍥而不捨，勢將男子殺人滅口。  失憶男子就是名為百舌的殺手嗎？他與爆炸案又有何關連？  公安警察與刑警暗地裡衝突不斷的驚人內幕  黑白兩道間爾虞我詐的心理戰  波瀾萬丈 以血洗血  適合在失眠之夜一口氣讀完  冷透骨髓、魄力十足的懸疑冒險小說  週刊文春傑作推理小說排行榜  1986年第二名、二十世紀總結第十一名  日本Amazon網站讀者五顆星一致好評  從萌生構想到完稿，花了三年半完成的精采佳作  讓你一拿起就捨不得放下！|2011-04-10 21:03:00.450|0|True|True||mysterybbs|Item, Book|Active|s1795414.jpg|1705|9789866954061||||2006|||414
2|雪地殺機|內容簡介已經試鏡合格的七位年輕男女，懷著明星夢，集合在初春的高原山莊內，準備接受即將展開的舞台訓練。但是，在被大雪封鎖的孤立山莊內殺人劇上演了。隨著同伴們一個接一個的失蹤，其餘的人開始產生懷疑了，這真的只是演戲嗎？|內容簡介已經試鏡合格的七位年輕男女，懷著明星夢，集合在初春的高原山莊內，準備接受即將展開的舞台訓練。但是，在被大雪封鎖的孤立山莊內殺人劇上演了。隨著同伴們一個接一個的失蹤，其餘的人開始產生懷疑了，這真的只是演戲嗎？|2011-04-10 21:03:00.677|0|True|True||mysterybbs|Item, Book|Active|s1798108.jpg|1707|9789578122505||||1996|||275
2|綁架遊戲|人物： 1號狐狸--葛城勝俊，50歲，雄霸日本的汽車大廠副社長 。 2號狐狸--葛城樹理，18歲，副社長的千金。 3號狐狸--佐久間駿介，30歲，廣告才子。故事：  佐久間所主導的新車發表廣告企劃案，被委託廠商的大老闆葛城 先生斥為膚淺，因此懷恨在心的佐久間偷偷躲在葛城大宅外，卻目睹一妙齡女子(樹理)由宅內翻牆而出，他也隨即招了計程車一路跟蹤，而綁架就從這個跟蹤事件裏|人物： 1號狐狸--葛城勝俊，50歲，雄霸日本的汽車大廠副社長 。 2號狐狸--葛城樹理，18歲，副社長的千金。 3號狐狸--佐久間駿介，30歲，廣告才子。故事：  佐久間所主導的新車發表廣告企劃案，被委託廠商的大老闆葛城 先生斥為膚淺，因此懷恨在心的佐久間偷偷躲在葛城大宅外，卻目睹一妙齡女子(樹理)由宅內翻牆而出，他也隨即招了計程車一路跟蹤，而綁架就從這個跟蹤事件裏醞釀而來。一手策劃綁架遊戲的佐久間只是為了和葛城一較高下，而甘願當人質的樹理圖的是向老爸勒索的三億贖金這個綁架案到底誰才是真正的主導人？1號還是3號？一較高下的結果誰才是真正的贏家？2號還是3號？|2011-04-10 21:03:00.880|0|True|True||mysterybbs|Item, Book|Active|s1798778.jpg|1708|9789861241906||||2004|6||352
2|八百万种死法|《八百万种死法》里的八百万其实是指纽约市里八百万市民。作者在书中经常写出各种离奇古怪的死法———只是在家里看电视却会无辜被炸死、跟相邻几十年的邻居会因一只新宠物而争执动武死亡。“八百万种死法”的意思是每一个人都有他们死的方法———没有人可以逃避，尤其是在纽约这个光怪陆离的罪恶城市。一个优雅的皮条客，昌斯，手下有六个姑娘，她们风采各异，有的能写诗，有的熟知报告文学。美丽而天真的金?达科嫩不过是其|《八百万种死法》里的八百万其实是指纽约市里八百万市民。作者在书中经常写出各种离奇古怪的死法———只是在家里看电视却会无辜被炸死、跟相邻几十年的邻居会因一只新宠物而争执动武死亡。“八百万种死法”的意思是每一个人都有他们死的方法———没有人可以逃避，尤其是在纽约这个光怪陆离的罪恶城市。一个优雅的皮条客，昌斯，手下有六个姑娘，她们风采各异，有的能写诗，有的熟知报告文学。美丽而天真的金?达科嫩不过是其中之一。她想脱离应召女郎的生涯，找到马修寻求保护，让他跟昌斯说。马修收了金攒的私房钱但没有保住金的命。金被人捣得面目全非，死在公寓中。连金的一些朋友也一个接一个死掉。其中一个姑娘在遗书中写道：“无人愿意为我一掷千金。无人愿意与我共结连理。无人愿意救我一命。我已倦于微笑。我已疲于奔命。美好时光已成过去。”尽管肯·德金警官说：“妓女自杀，见怪不怪。”马修还是决定为这些逃回公道。尽管受到警告，但他一心一意要追查到底。|2011-04-10 21:03:01.077|0|True|True||mysterybbs|Item, Book|Active|s1887693.jpg|1709|9787802250970||||2006|9||383
2|紅樓夢殺人事件|||2011-04-10 21:03:01.273|0|True|True||mysterybbs|Item, Book|Active|s1802464.jpg|1711|9789573257974||||2006|7|1|376
2|错格的幻影|「看電影時，你會注意技術上的細節，還是會投入到電影的世界裡呢？」 一九七九年．紐約── 電影剪接師大衛在自己的工作室裡發現了一卷邪惡又完美無瑕的膠捲。短短的片段中，裡面的女演員手拿刀子刺向自己的腹部…… 那是貨真價實的「SNUFF」（謀殺影片）嗎？影片中的女演員──一位名為安潔莉卡的Ｂ級電影演員，到底為什麼要這麼做、是誰拍攝這捲膠捲呢？又為何會放在大衛的工作室中？在大衛四處查詢的過程中，意外涉入|「看電影時，你會注意技術上的細節，還是會投入到電影的世界裡呢？」 一九七九年．紐約── 電影剪接師大衛在自己的工作室裡發現了一卷邪惡又完美無瑕的膠捲。短短的片段中，裡面的女演員手拿刀子刺向自己的腹部…… 那是貨真價實的「SNUFF」（謀殺影片）嗎？影片中的女演員──一位名為安潔莉卡的Ｂ級電影演員，到底為什麼要這麼做、是誰拍攝這捲膠捲呢？又為何會放在大衛的工作室中？在大衛四處查詢的過程中，意外涉入另一起失蹤案件，而失蹤的女性居然也叫安潔莉卡……拼湊的記憶、片段的膠捲，行蹤不明的導演與兩位安潔莉卡，在影片與現實的夾縫之間，大衛所窺視到的黑暗深淵又是什麼呢？  本書是為好萊塢式的懸疑電影的小說。故事發生在幾十年前的紐約，文本涉及許多七八○年代的老電影，以及當時的攝影技術跟業界八卦，故事的發展極具推理性，加上敘事結構以電影分鏡的方式來鋪陳，不僅手法十分創新，也是元素相當豐富的一本小說。喜愛看類型電影的讀者絕對會立刻陷入作者打造的世界當中。|2011-04-10 21:03:01.470|0|True|True||mysterybbs|Item, Book|Active|s1802896.jpg|1713|9789571033549||||2006|9|1|0
2|在黑暗中等待|阿滿失去了視力，一個人靜靜地過日子；而明宏則為工作職場人際關係所惱。車站月台所發生的殺人事件將兩個寂寞的人兜在一起。被當成犯人追捕的明宏逃進阿滿的家，蜷縮在起居室的角落。感受有外人存在的氣息而心生膽怯的阿滿為了自保，決定裝作不知情。於是兩人就此展開了一段奇妙的同居生活──|阿滿失去了視力，一個人靜靜地過日子；而明宏則為工作職場人際關係所惱。車站月台所發生的殺人事件將兩個寂寞的人兜在一起。被當成犯人追捕的明宏逃進阿滿的家，蜷縮在起居室的角落。感受有外人存在的氣息而心生膽怯的阿滿為了自保，決定裝作不知情。於是兩人就此展開了一段奇妙的同居生活──|2011-04-10 21:03:01.680|0|True|True||mysterybbs|Item, Book|Active|s1802961.jpg|1715|9789571033303||||2006|||0
2|只有你听得到CALLING YOU|"喂,听的到我的声音吗?"某一天,孤独的女高中生·小凉「心中手机」的来电铃声响起了。对方是跟小凉同样在脑中有一支手机的高中生·慎也。从这一天开始，两个人就透过脑中的手机进行对话，但是……同时收录描绘少年们无奈伤痛的伤痕「KIZ/KIDS」。|"喂,听的到我的声音吗?"某一天,孤独的女高中生·小凉「心中手机」的来电铃声响起了。对方是跟小凉同样在脑中有一支手机的高中生·慎也。从这一天开始，两个人就透过脑中的手机进行对话，但是……同时收录描绘少年们无奈伤痛的伤痕「KIZ/KIDS」。|2011-04-10 21:03:01.857|0|True|True||mysterybbs|Item, Book|Active|s1803468.jpg|1716|9789867299475|||||||176
